1,8,10
5,11,46
1,5,75
18,11,39
0,17,98
17,18,47
9,0,43
0,15,20
11,3,95
4,9,27
13,14,89
9,2,49
1,13,22
14,3,50
4,14,79
18,9,88
0,19,9
13,0,93
4,19,39
15,19,39
3,4,76
9,13,51
11,6,98
18,7,74
8,16,90
16,5,18
3,11,85
0,15,12
16,7,3
19,5,76
7,14,39
8,13,32
6,1,75
9,17,78
14,15,72
7,2,65
5,18,87
0,8,94
2,14,53
5,14,86
0,17,22
2,4,24
18,0,36
15,9,88
9,18,17
14,6,17
9,2,94
5,8,33
15,5,82
10,11,5
19,17,73
6,4,60
9,16,98
2,9,8
15,11,63
19,3,37
18,6,37
16,6,28
9,19,78
9,3,65
19,1,11
13,0,70
16,6,71
15,16,63
9,6,88
7,16,28
15,3,58
9,11,68
6,15,81
14,11,5
6,5,53
0,5,44
2,5,57
7,11,93
11,8,6
18,2,13
4,7,44
13,14,43
6,11,96
18,5,81
0,8,31
15,0,72
17,0,51
3,8,29
8,6,80
2,1,32
15,14,14
16,18,42
9,6,48
13,10,68
2,18,67
2,13,24
11,3,85
18,9,97
5,15,6
18,17,29
19,1,44
17,16,23
13,5,44
10,6,63
